,edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,birth_town,birth_country,nationality
0,1,1903-07-01,Maurice Garin,La Française,2428.0,94.55388888888888,2.9891666666666667,3,6,1.62,60.0,32,1871-03-03,Arvier,Italy, France
1,2,1904-07-02,Henri Cornet,Conte,2428.0,96.09861111111113,2.270555555555556,1,3,1.7057345942814208,72.65035859637634,19,1884-08-04,Desvres,France, France
2,3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994.0,82.08666666666666,0.3137435645384125,5,10,1.7775418496135587,82.5939138595497,24,1881-06-29,Paris,France, France
3,4,1906-07-04,René Pottier,Peugeot–Wolber,4637.0,198.86843247705968,0.3757444534052732,5,12,1.754120315278501,70.31117178054023,27,1879-06-05,Moret-sur-Loing,France, France
4,5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488.0,207.01559230200934,0.04527949577990608,2,5,1.66716604695382,70.03111723860314,24,1882-10-18,Plessé,France, France
5,6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497.0,82.08666666666666,0.07928573025132792,5,13,1.8262839892314626,62.93427690470304,25,1882-10-18,Plessé,France, France
6,7,1909-07-05,François Faber,Alcyon–Dunlop,4498.0,82.08666666666666,0.5147725717336096,6,13,1.78,88.0,22,1887-01-26,Aulnay-sur-Iton,France, Luxembourg
7,8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734.0,174.0065262703736,0.4999247851499064,4,3,1.82583754853281,69.22369103190347,22,1887-10-24,Paris,France, France
8,9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343.0,82.08666666666666,0.26111959794322803,2,13,1.89068807917868,67.90464545348371,26,1884-09-24,Vabres,France, France
9,10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289.0,82.08666666666666,0.3169433101230617,3,13,1.7897174336748163,73.45581526388236,23,1888-07-14,Rumbeke,Belgium, Belgium
10,11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287.0,197.9,0.13555555555555554,1,8,1.670271628874605,67.71608724151686,23,1889-10-08,Anderlecht,Belgium, Belgium
11,12,1914-06-28,Philippe Thys,Peugeot–Wolber,5380.0,200.48,0.016944444444444443,1,15,1.7515786839974223,66.83021918509277,24,1889-10-08,Anderlecht,Belgium, Belgium
12,13,1919-06-29,Firmin Lambot,La Sportive,5560.0,231.1208333333333,1.715,1,2,1.792904872846928,72.53713073241256,33,1886-03-14,Florennes,Belgium, Belgium
13,14,1920-06-27,Philippe Thys,La Sportive,5503.0,228.6036111111111,0.9658333333333332,4,14,1.7860902062731405,68.05477480851248,30,1889-10-08,Anderlecht,Belgium, Belgium
14,15,1921-06-26,Léon Scieur,La Sportive,5485.0,221.84055555555562,0.305,2,14,1.6341029797606736,77.32374478528203,33,1888-03-18,Florennes,Belgium, Belgium
15,16,1922-06-25,Firmin Lambot,Peugeot–Wolber,5375.0,222.135,0.6947222222222222,0,3,1.777312751161977,64.04888530294706,36,1886-03-14,Florennes,Belgium, Belgium
16,17,1923-06-24,Henri Pélissier,Automoto–Hutchinson,5386.0,222.25833333333333,0.5083333333333333,3,6,1.746411746426529,69.71237076846444,34,1889-01-22,Paris,France, France
17,18,1924-06-22,Ottavio Bottecchia,Automoto,5425.0,226.3058333333333,0.5930555555555556,4,15,1.6868040286942596,69.04282348868938,29,1894-08-01,San Martino di Colle Umberto,Italy, Italy
18,19,1925-06-21,Ottavio Bottecchia,Automoto–Hutchinson,5440.0,219.17166666666665,0.915,4,13,1.691316069818055,68.47159116591381,30,1894-08-01,San Martino di Colle Umberto,Italy, Italy
19,20,1926-06-20,Lucien Buysse,Automoto–Hutchinson,5745.0,238.74027777777775,1.3736111111111111,2,8,1.6808923555915856,69.9907283694553,33,1892-09-11,Wontergem,Belgium, Belgium
20,21,1927-06-19,Nicolas Frantz,Alcyon–Dunlop,5398.0,198.2783333333333,1.8113888888888892,3,14,1.8142542144547704,64.87079490655759,27,1899-11-04,Mamer,Luxembourg, Luxembourg
21,22,1928-06-17,Nicolas Frantz,Alcyon–Dunlop,5476.0,192.81611111111116,0.8472222222222222,5,22,1.711893543867975,72.26082570614628,28,1899-11-04,Mamer,Luxembourg, Luxembourg
22,23,1929-06-30,Maurice De Waele,Alcyon–Dunlop,5286.0,186.65416666666667,0.7455555555555555,1,16,1.8540152466242585,70.56982086644786,32,1896-12-27,Lovendegem,Belgium, Belgium
23,24,1930-07-02,André Leducq,Alcyon–Dunlop,4822.0,172.2044444444444,0.23722222222222225,2,13,1.8507064191193596,69.54929336341483,26,1904-02-27,Saint-Ouen,France, France
24,25,1931-06-30,Antonin Magne,France,5091.0,177.1675,0.20333333333333334,1,16,1.7321281930026307,72.21746129802125,27,1904-01-15,Ytrac,France, France
25,26,1932-07-06,André Leducq,France,4479.0,154.19694444444445,0.4066666666666667,6,19,1.762004368142944,77.30211422056364,28,1904-02-27,Saint-Ouen,France, France
26,27,1933-06-27,Georges Speicher,France,4395.0,147.86027777777778,0.06777777777777777,3,12,1.8543919964162165,67.53746026433355,26,1907-06-08,Paris,France, France
27,28,1934-07-03,Antonin Magne,France,4470.0,147.23277777777778,0.4575,3,22,1.796188738577445,74.6276144226246,30,1904-01-15,Ytrac,France, France
28,29,1935-07-04,Romain Maes,Belgium,4338.0,141.38333333333333,0.2880555555555556,3,21,1.7611534752127278,73.51115005292536,22,1912-08-10,Zerkegem,Belgium, Belgium
29,30,1936-07-07,Sylvère Maes,Belgium,4442.0,142.79222222222222,0.4405555555555556,4,14,1.7586630355748074,73.0283877090682,26,1909-08-27,Zevekote,Belgium, Belgium
30,31,1937-06-30,Roger Lapébie,France,4415.0,138.97527777777782,0.11861111111111113,3,4,1.6693448142299006,72.96416154428056,26,1911-01-16,Bayonne,France, France
31,32,1938-07-05,Gino Bartali,Italy,4694.0,148.48666666666662,0.305,2,8,1.72,66.0,23,1914-07-18,Ponte e Ema,Italy, Italy
32,33,1939-07-10,Sylvère Maes,Belgium,4224.0,132.05472222222224,0.5083333333333333,2,8,1.835463349040466,70.4434374466971,29,1909-08-27,Zevekote,Belgium, Belgium
33,34,1947-06-25,Jean Robic,France,4642.0,148.1902777777778,0.050833333333333335,3,1,1.61,60.0,26,1921-06-10,Vouziers,France, France
34,35,1948-06-30,Gino Bartali,Italy,4922.0,147.17666666666662,0.4405555555555556,7,9,1.72,66.0,33,1914-07-18,Ponte e Ema,Italy, Italy
35,36,1949-06-30,Fausto Coppi,Italy,4808.0,149.68027777777775,0.16944444444444445,3,5,1.77,68.0,29,1919-09-15,Castellania,Italy, Italy
36,37,1950-07-13,Ferdinand Kübler,Switzerland,4773.0,145.61555555555555,0.1525,3,11,1.7581775673076265,62.61324103019959,30,1919-07-24,Marthalen,Switzerland,  Switzerland
37,38,1951-07-04,Hugo Koblet,Switzerland,4690.0,142.33722222222227,0.37277777777777776,5,11,1.6757172241567633,70.44636857542085,26,1925-03-21,Zürich,Switzerland,  Switzerland
38,39,1952-06-25,Fausto Coppi,Italy,4898.0,151.95555555555555,0.4744444444444445,5,14,1.77,68.0,30,1919-09-15,Castellania,Italy, Italy
39,40,1953-07-03,Louison Bobet,France,4476.0,129.39027777777778,0.23722222222222225,2,5,1.79,75.0,26,1925-03-12,Saint-Méen-le-Grand,France, France
40,41,1954-07-08,Louison Bobet,France,4656.0,140.10138888888892,0.25416666666666665,3,14,1.79,75.0,29,1925-03-12,Saint-Méen-le-Grand,France, France
41,42,1955-07-07,Louison Bobet,France,4495.0,130.49055555555555,0.06777777777777777,2,6,1.79,75.0,30,1925-03-12,Saint-Méen-le-Grand,France, France
42,43,1956-07-05,Roger Walkowiak,France,4498.0,124.02111111111113,0.016944444444444443,0,8,1.7103786665172698,62.490505131279726,29,1927-03-02,Montluçon,France, France
43,44,1957-06-27,Jacques Anquetil,France,4669.0,135.74499999999998,0.23722222222222225,4,15,1.76,70.0,23,1934-01-08,Mont-Saint-Aignan,France, France
44,45,1958-06-26,Charly Gaul,Luxembourg,4319.0,116.98472222222222,0.050833333333333335,4,2,1.73,64.0,25,1932-12-08,Pfaffenthal,Luxembourg, Luxembourg
45,46,1959-06-25,Federico Bahamontes,Spain,4358.0,123.77916666666668,0.06777777777777777,1,6,1.7190359339543637,69.26260110840155,30,1928-07-09,Santo Domingo-Caudilla,Spain, Spain
46,47,1960-06-26,Gastone Nencini,Italy,4173.0,112.145,0.08472222222222221,0,14,1.7781368167073985,80.06481031644634,30,1930-03-01,Barberino di Mugello,Italy, Italy
47,48,1961-06-25,Jacques Anquetil,France,4397.0,122.02583333333334,0.20333333333333334,2,21,1.76,70.0,27,1934-01-08,Mont-Saint-Aignan,France, France
48,49,1962-06-24,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274.0,114.53166666666668,0.06777777777777777,2,3,1.76,70.0,28,1934-01-08,Mont-Saint-Aignan,France, France
49,50,1963-06-23,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138.0,113.50138888888887,0.050833333333333335,4,5,1.76,70.0,29,1934-01-08,Mont-Saint-Aignan,France, France
50,51,1964-06-22,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4504.0,127.16222222222223,0.015277777777777776,4,6,1.76,70.0,30,1934-01-08,Mont-Saint-Aignan,France, France
51,52,1965-06-22,Felice Gimondi,Salvarani,4188.0,116.70166666666668,0.03388888888888888,3,18,1.81,71.0,22,1942-09-29,Sedrina,Italy, Italy
52,53,1966-06-21,Lucien Aimar,Ford France–Hutchinson,4329.0,117.5725,0.016944444444444443,0,6,1.8430749900792462,71.96693088333058,25,1941-04-28,Hyères,France, France
53,54,1967-06-29,Roger Pingeon,Peugeot–BP–Michelin,4779.0,136.89722222222218,0.050833333333333335,1,17,1.82,72.0,26,1940-08-28,Hauteville-Lompnes,France, France
54,55,1968-06-27,Jan Janssen,Pelforth–Sauvage–Lejeune,4492.0,133.82833333333332,0.010555555555555556,2,1,1.711597149135554,73.79561881555242,28,1940-05-19,Nootdorp,Netherlands, Netherlands
